Test Setup Parameters
DMM Model: SDM3055
PSU Model: DP832
PSU Channel: 2
voltMin: 0.000
voltMax: 32.000
voltStep: 0.001
currentLimit: 1.000
overCurrentLimit: OFF
dmmMeasureMode: average
dmmMeasureCount: 10
cmdDelay: 0.01
measDelay: 1
startTime: 2018-03-24 01:06:07.348788
endTime: 2018-03-24 06:54:58.846738
elapsedTime: 5:48:51.497950
DP832 Initial System Temp: 28.32C
DP832 Ending System Temp: 27.48C
Run Notes:
START DATA CAPTURE
SetVoltage,PsuMeasureVoltage,DmmAverageVoltage,DmmMinimumVoltage,DmmMaximumVoltage,DmmStandardDeviation
0.231,0.2304,+2.25451299E-01,+2.25436164E-01,+2.25475048E-01,+1.39815602E-05
0.232,0.2314,+2.26479306E-01,+2.26472451E-01,+2.26490550E-01,+6.10273220E-06
0.233,0.2319,+2.26967668E-01,+2.26955480E-01,+2.26982684E-01,+9.42778316E-06
0.234,0.2329,+2.27979938E-01,+2.27963183E-01,+2.27989529E-01,+9.23406704E-06
0.235,0.2339,+2.28997986E-01,+2.28984246E-01,+2.29018279E-01,+1.14515536E-05
0.236,0.2350,+2.30015503E-01,+2.29996502E-01,+2.30037737E-01,+1.39655422E-05
0.237,0.2361,+2.31082301E-01,+2.31072532E-01,+2.31092869E-01,+6.88488174E-06
0.238,0.2371,+2.32139625E-01,+2.32128784E-01,+2.32148711E-01,+7.15442753E-06
0.239,0.2381,+2.33134021E-01,+2.33122456E-01,+2.33159325E-01,+1.12320425E-05
0.240,0.2392,+2.34162528E-01,+2.34147885E-01,+2.34186097E-01,+1.17197390E-05
0.241,0.2400,+2.35197980E-01,+2.35176336E-01,+2.35224325E-01,+1.54089686E-05
0.242,0.2412,+2.36238331E-01,+2.36222214E-01,+2.36250761E-01,+9.07027826E-06
0.243,0.2421,+2.37280052E-01,+2.37256076E-01,+2.37293692E-01,+1.39461388E-05
0.244,0.2432,+2.38304343E-01,+2.38288446E-01,+2.38313709E-01,+7.67192085E-06
0.245,0.2442,+2.39300164E-01,+2.39286857E-01,+2.39316039E-01,+1.07953498E-05
