Test Setup Parameters
DMM Model: SDM3055
PSU Model: DP832
PSU Channel: 1
Load: open
voltMin: 0.000
voltMax: 32.000
voltStep: 0.001
currentLimit: 0.020
overCurrentLimit: 0.020
dmmMeasureMode: average
dmmMeasureCount: 10
cmdDelay: 0.01
measDelay: 1
startTime: 2018-04-15 16:36:36.184772
endTime: 2018-04-17 03:41:47.075619
elapsedTime: 1 day, 11:05:10.890847
DP832 Initial System Temp: 28.90C
DP832 Ending System Temp: 31.54C
Run Notes:
START DATA CAPTURE
SetVoltage,PsuMeasureVoltage,DmmAverageVoltage,DmmMinimumVoltage,DmmMaximumVoltage,DmmStandardDeviation
0.187,0.1909,+1.85112056E-01,+1.85101805E-01,+1.85120277E-01,+5.70185892E-06
0.188,0.1919,+1.86142925E-01,+1.86130704E-01,+1.86153094E-01,+8.09948835E-06
0.189,0.1929,+1.87185747E-01,+1.87178896E-01,+1.87190837E-01,+3.61589081E-06
0.190,0.1939,+1.88227043E-01,+1.88219400E-01,+1.88233805E-01,+4.48372774E-06
0.191,0.1950,+1.89242616E-01,+1.89236545E-01,+1.89248747E-01,+4.21419174E-06
0.192,0.1959,+1.90273948E-01,+1.90268280E-01,+1.90281490E-01,+4.19157573E-06
0.193,0.1970,+1.91300601E-01,+1.91287402E-01,+1.91313188E-01,+8.14054055E-06
0.194,0.1981,+1.92337101E-01,+1.92323690E-01,+1.92343505E-01,+5.08035773E-06
0.195,0.1991,+1.93384002E-01,+1.93371919E-01,+1.93402407E-01,+9.87492986E-06
0.196,0.2001,+1.94393642E-01,+1.94383018E-01,+1.94407535E-01,+8.13898394E-06
0.197,0.2011,+1.95459779E-01,+1.95443226E-01,+1.95468937E-01,+7.11231727E-06
0.198,0.2023,+1.96486884E-01,+1.96481491E-01,+1.96495187E-01,+4.64198452E-06
0.199,0.2032,+1.97514290E-01,+1.97500949E-01,+1.97522332E-01,+6.35533215E-06
0.200,0.2043,+1.98546820E-01,+1.98530931E-01,+1.98561194E-01,+1.08080822E-05
0.201,0.2053,+1.99623861E-01,+1.99610842E-01,+1.99631366E-01,+7.40212464E-06
0.202,0.2058,+2.00111764E-01,+2.00099431E-01,+2.00122007E-01,+6.97453591E-06
0.203,0.2070,+2.01121728E-01,+2.01111463E-01,+2.01130046E-01,+5.60978255E-06
0.204,0.2079,+2.02153400E-01,+2.02138011E-01,+2.02165215E-01,+8.14286979E-06
0.205,0.2091,+2.03192285E-01,+2.03186091E-01,+2.03199338E-01,+4.20114896E-06
0.206,0.2100,+2.04243093E-01,+2.04230028E-01,+2.04255254E-01,+8.58383117E-06
0.207,0.2111,+2.05243374E-01,+2.05232731E-01,+2.05257845E-01,+1.04327262E-05
0.208,0.2121,+2.06258249E-01,+2.06238755E-01,+2.06269690E-01,+9.10960160E-06
0.209,0.2130,+2.07288062E-01,+2.07280080E-01,+2.07293962E-01,+5.23408457E-06
0.210,0.2141,+2.08325809E-01,+2.08312450E-01,+2.08346893E-01,+1.17722445E-05
0.211,0.2151,+2.09339043E-01,+2.09325900E-01,+2.09353365E-01,+9.14949688E-06
0.212,0.2162,+2.10352358E-01,+2.10345470E-01,+2.10362710E-01,+5.62819060E-06
0.213,0.2172,+2.11367622E-01,+2.11349143E-01,+2.11386870E-01,+1.06526498E-05
0.214,0.2182,+2.12391491E-01,+2.12381064E-01,+2.12410433E-01,+8.80569390E-06
0.215,0.2193,+2.13443343E-01,+2.13433660E-01,+2.13452281E-01,+5.52007075E-06
0.216,0.2202,+2.14486654E-01,+2.14477672E-01,+2.14495323E-01,+4.62430685E-06
0.217,0.2213,+2.15515855E-01,+2.15505265E-01,+2.15525938E-01,+7.43029625E-06
0.218,0.2223,+2.16563286E-01,+2.16550210E-01,+2.16580213E-01,+9.34979664E-06
0.219,0.2228,+2.17104682E-01,+2.17083132E-01,+2.17117500E-01,+1.13966321E-05
0.220,0.2244,+2.18641418E-01,+2.18633346E-01,+2.18651893E-01,+5.40864878E-06
0.221,0.2249,+2.19158513E-01,+2.19148804E-01,+2.19167910E-01,+6.44524585E-06
0.222,0.2259,+2.20178430E-01,+2.20171657E-01,+2.20185502E-01,+3.94445006E-06
0.223,0.2270,+2.21214226E-01,+2.21203318E-01,+2.21220782E-01,+5.30744320E-06
0.224,0.2280,+2.22239042E-01,+2.22228709E-01,+2.22251323E-01,+6.59892618E-06
0.225,0.2291,+2.23283495E-01,+2.23277088E-01,+2.23292985E-01,+5.51993688E-06
0.226,0.2301,+2.24315536E-01,+2.24310278E-01,+2.24321100E-01,+3.27536391E-06
0.227,0.2312,+2.25347484E-01,+2.25338170E-01,+2.25356418E-01,+5.71069628E-06
0.228,0.2322,+2.26394687E-01,+2.26384943E-01,+2.26404012E-01,+5.56124145E-06
0.229,0.2331,+2.27427541E-01,+2.27420074E-01,+2.27436083E-01,+5.52330289E-06
0.230,0.2342,+2.28420187E-01,+2.28407552E-01,+2.28429755E-01,+7.14544765E-06
0.231,0.2352,+2.29471040E-01,+2.29458542E-01,+2.29480559E-01,+7.89166283E-06
0.232,0.2364,+2.30507809E-01,+2.30500540E-01,+2.30518750E-01,+5.18523209E-06
0.233,0.2374,+2.31537182E-01,+2.31521826E-01,+2.31560636E-01,+1.38400920E-05
0.234,0.2384,+2.32588717E-01,+2.32579534E-01,+2.32595692E-01,+4.59643914E-06
0.235,0.2394,+2.33627625E-01,+2.33610597E-01,+2.33636383E-01,+7.79326590E-06
0.236,0.2404,+2.34668644E-01,+2.34664461E-01,+2.34676403E-01,+3.65283853E-06
0.237,0.2416,+2.35694607E-01,+2.35687576E-01,+2.35703622E-01,+5.26992580E-06
0.238,0.2420,+2.36210250E-01,+2.36202921E-01,+2.36224565E-01,+7.43744249E-06
0.239,0.2431,+2.37255703E-01,+2.37244657E-01,+2.37268839E-01,+9.84269954E-06
0.240,0.2440,+2.38264410E-01,+2.38261167E-01,+2.38272213E-01,+3.52297062E-06
0.241,0.2450,+2.39304441E-01,+2.39298052E-01,+2.39315031E-01,+5.55969843E-06
0.242,0.2462,+2.40339804E-01,+2.40328090E-01,+2.40351757E-01,+5.94882380E-06
0.243,0.2472,+2.41363254E-01,+2.41351779E-01,+2.41370653E-01,+5.52257293E-06
0.244,0.2482,+2.42389729E-01,+2.42380861E-01,+2.42402731E-01,+7.24133768E-06
